IdVuelo,iteracion,temperatura,mejorFitness,candidatoFitness,fitnessActual,Probabilidad,Maniobra,Magnitud
5,210,894.452,21.7423,48.4037,48.4037,0.997676,1,-44.0499
5,211,894.452,21.7423,44.3818,44.3818,1,1,-40.0463
5,212,894.452,21.7423,53.4222,53.4222,0.989944,1,-49.0455
5,213,894.452,21.7423,50.3919,50.3919,1,1,-46.0291
5,214,894.452,21.7423,47.4039,47.4039,1,1,-43.0547
5,215,894.452,21.7423,46.7766,46.7766,1,1,-42.4302
5,216,894.452,21.7423,46.6754,46.6754,1,1,-42.3295
5,217,894.452,21.7423,37.7885,37.7885,1,1,-33.483
5,218,894.452,21.7423,36.1114,36.1114,1,1,-31.8136
5,219,894.452,21.7423,29.4559,29.4559,1,1,-25.1883
5,220,894.452,21.7423,31.8043,31.8043,0.997378,1,-27.5261
5,221,894.452,21.7423,27.0781,27.0781,1,1,-22.8214
5,222,894.452,21.7423,24.4573,24.4573,1,1,-20.2125
5,223,894.452,21.7423,31.1856,31.1856,0.992506,1,-26.9102
5,224,894.452,21.7423,35.8047,35.8047,0.994849,1,-31.5082
5,225,894.452,21.7423,27.617,27.617,1,1,-23.3578
5,226,894.452,21.7423,35.4886,35.4886,0.991238,1,-31.1936
5,227,894.452,21.7423,40.9364,40.9364,0.993928,1,-36.6166
5,228,894.452,21.7423,49.7893,49.7893,0.990151,1,-45.4292
5,229,894.452,21.7423,58.0715,58.0715,0.990783,1,-53.6737
5,230,894.452,21.7423,62.7421,62.7421,0.994792,1,-58.323
5,231,894.452,21.7423,55.1171,55.1171,1,1,-50.7327
5,232,894.452,21.7423,45.2782,45.2782,1,1,-40.9386
5,233,894.452,21.7423,42.288,42.288,1,1,-37.962
5,234,894.452,21.7423,33.1249,33.1249,1,1,-28.8406
5,235,894.452,21.7423,31.8606,31.8606,1,1,-27.5821
5,236,894.452,21.7423,38.5161,38.5161,0.992587,1,-34.2073
5,237,894.452,21.7423,31.2528,31.2528,1,1,-26.977
5,238,894.452,21.7423,36.2976,36.2976,0.994376,1,-31.9989
5,239,894.452,21.7423,35.5062,35.5062,1,1,-31.2111
5,240,894.452,21.7423,30.1985,30.1985,1,1,-25.9275
5,241,894.452,21.7423,23.0133,23.0133,1,1,-18.7751
5,242,894.452,21.7423,24.2844,24.2844,0.99858,1,-20.0403
5,243,894.452,18.6712,18.6712,18.6712,1,1,-14.4527
5,244,894.452,18.6712,28.2752,28.2752,0.98932,1,-24.013
5,245,894.452,18.6712,35.9555,35.9555,0.99145,1,-31.6583
5,246,894.452,18.6712,27.3624,27.3624,1,1,-23.1044
5,247,894.452,18.6712,19.4975,19.4975,1,1,-15.2752
5,248,894.452,18.6712,21.8627,21.8627,0.997359,1,-17.6297
5,249,894.452,18.6712,20.656,20.656,1,1,-16.4285
5,250,894.452,14.6037,14.6037,14.6037,1,1,-10.4037
5,251,894.452,9.56084,9.56084,9.56084,1,1,-5.38383
5,252,894.452,9.56084,16.2872,16.2872,0.992508,1,-12.0796
5,253,894.452,9.56084,18.1545,18.1545,0.997915,1,-13.9383
5,254,894.452,9.56084,14.8582,14.8582,1,1,-10.6571
5,255,894.452,9.56084,12.2312,12.2312,1,1,-8.04206
5,256,894.452,9.56084,17.1167,17.1167,0.994553,1,-12.9053
5,257,894.452,8.72229,8.72229,8.72229,1,1,-4.54909
5,258,894.452,8.72229,8.88182,8.88182,0.999822,1,-4.70789
5,259,894.452,4.58055,4.58055,4.58055,1,1,0.426203
5,260,894.452,4.58055,14.2855,14.2855,0.989208,1,10.087
5,261,894.452,4.58055,11.771,11.771,1,1,7.58395
5,262,894.452,4.58055,11.8873,11.8873,0.99987,1,7.69971
5,263,894.452,4.58055,5.22607,5.22607,1,1,1.06878
5,264,894.452,4.58055,14.8623,14.8623,0.989284,1,10.6612
5,265,894.452,4.58055,12.8051,12.8051,1,1,8.61331
5,266,894.452,4.58055,4.9422,4.9422,1,1,0.786206
5,267,894.452,4.58055,14.3837,14.3837,0.9895,1,10.1848
5,268,894.452,4.58055,18.3803,18.3803,0.995542,1,14.1631
5,269,894.452,4.58055,27.3103,27.3103,0.990066,1,23.0525
5,270,894.452,4.58055,34.2829,34.2829,0.992235,1,29.9933
5,271,894.452,4.58055,41.8528,41.8528,0.991572,1,37.5288
5,272,894.452,4.58055,49.3545,49.3545,0.991648,1,44.9964
